dpid	is_food	hp_cal_dt	dpid	gender	age_range	occupation_dm	city_name	phone_model	brand	mobile_os	begin_hour	end_hour	cnt_search	ugc_reviewcnt	ugc_notecnt	ugc_checkincnt	ugc_freshcnt
1cd026ab55aa460db572d422ffefe3f1a161517873110282643	0	2021-08-29	1cd026ab55aa460db572d422ffefe3f1a161517873110282643	female	40以上	其他	南宁	NULL	NULL	ios	12:59	12:59	NULL	NULL	NULL	NULL	NULL
1cd04a41671f44098581fa4b92a7a723a160332601882207109	1	2021-08-29	1cd04a41671f44098581fa4b92a7a723a160332601882207109	female	35~40	白领	深圳	NULL	NULL	android	12:59	12:59	1	24	6	1	5
1cd0ab8db17949c4b7f78258342fb211a156385079565907090	0	2021-08-29	1cd0ab8db17949c4b7f78258342fb211a156385079565907090	female	25~30	学生	上海	NULL	NULL	android	12:59	12:59	3	3	3	1	1
1cd2a112d4604c60aa76f38438d5db28a153781721053157189	1	2021-08-29	1cd2a112d4604c60aa76f38438d5db28a153781721053157189	female	40以上	白领	北京	NULL	NULL	ios	12:59	12:59	NULL	2	4	1	2
1cd47747c0b04184b5460246581b2776a158932897767670871	0	2021-08-29	1cd47747c0b04184b5460246581b2776a158932897767670871	male	25~30	白领	南京	NULL	NULL	android	19:59	19:59	NULL	1	1	1	1
1cd57e79fdf4410283632e6525102da4a156000973720782466	0	2021-08-29	1cd57e79fdf4410283632e6525102da4a156000973720782466	male	25~30	白领	杭州	NULL	NULL	android	19:59	19:59	1	18	19	1	1
1cd70e822efb41659fb7c990cc90d78fa162546050687103090	0	2021-08-29	1cd70e822efb41659fb7c990cc90d78fa162546050687103090	female	30~35	其他	苏州	NULL	NULL	ios	19:59	19:59	NULL	3	1	1	1
1cd90ccc166e4cd19bed64df8b262f70a156897796358613169	0	2021-08-29	1cd90ccc166e4cd19bed64df8b262f70a156897796358613169	female	30~35	其他	北京	NULL	NULL	android	12:59	12:59	2	12	3	1	1
1cd9584a7e104187aa2dd5a95a496dd8a158860928555007504	0	2021-08-29	1cd9584a7e104187aa2dd5a95a496dd8a158860928555007504	female	40以上	其他	武汉	NULL	NULL	android	09:59	09:59	NULL	NULL	NULL	NULL	NULL
1cd97d2f96d844b18015f7f95854f203a154334390171104851	0	2021-08-29	1cd97d2f96d844b18015f7f95854f203a154334390171104851	female	25~30	白领	深圳	NULL	NULL	ios	19:59	19:59	NULL	6	3	1	1
